"origin","props","mean.wait","n.01","n.02","n.05","flights.num"
"TUS",0.319602171,5.138802837,8354,2089,335,521563
"TVC",0.303362032,8.09901048,8119,2030,325,52953
"TVL",0.334744383,4.29697167,8555,2139,343,3314
"TWF",0.226658116,2.170327615,6734,1684,270,19028
"TXK",0.180648636,2.573420297,5687,1422,228,17381
"TYR",0.189209672,2.39238542,5894,1474,236,28512
"TYS",0.314552053,6.313796648,8283,2071,332,262061
"UCA",0.466505601,4.693388974,9561,2391,383,4639
"VCT",0.172530733,2.408647732,5485,1372,220,2445
"VLD",0.304750964,10.12964634,8140,2035,326,12502
"VPS",0.2806382,7.630384955,7756,1939,311,91423
"WRG",0.331897757,8.793724481,8519,2130,341,18665
"WYS",0.138247283,-2.715353261,4577,1145,184,2991
"XNA",0.304413192,9.878950704,8135,2034,326,153610
"YAK",0.295602294,6.475880907,8000,2000,320,18616
"YUM",0.242761975,2.866764609,7062,1766,283,40099
